file,mode,block_id,level,parent_id,marker,rank,num,prefix,heading,body,split_src,confidence,flags,why
001_Bo_luat_Dan_su_91-2015-QH13.docx,vn-legal,p0,1,,,,,,001_Bo_luat_Dan_su_91-2015-QH13.pdf,,từ khóa,0.7,,đậm
001_Bo_luat_Dan_su_91-2015-QH13.docx,vn-legal,p5,2,p0,dieu,4,4,Điều 4.,"Áp dụng Bộ luật dân sự 1. Bộ luật này là luật chung điều chỉnh các quan hệ dân sự. 2. Luật khác có liên quan điều chỉnh quan hệ dân sự trong các lĩnh vực cụ thể không được trái với các nguyên tắc cơ bản của pháp luật dân sự quy định tại Điều 3 của Bộ luật này. 3. Trường hợp luật khác có liên quan không quy định hoặc có quy định nhưng vi phạm khoản 2 Điều này thì quy định của Bộ luật này được áp dụng. 4. Trường hợp có sự khác nhau giữa quy định của Bộ luật này và điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên về cùng một vấn đề thì áp dụng quy định của điều ước quốc tế. Điều 5. Áp dụng tập quán 1. Tập quán là quy tắc xử sự có nội dung rõ ràng để xác định quyền, nghĩa vụ của cá nhân, pháp nhân trong quan hệ dân sự cụ thể, được hình thành và lặp đi lặp lại nhiều lần trong một thời gian dài, được thừa nhận và áp dụng rộng rãi trong một vùng, miền, dân tộc, cộng đồng dân cư hoặc trong một lĩnh vực dân sự. 2. Trường hợp các bên không có thoả thuận và pháp luật không quy định thì có thể áp dụng tập quán nhưng tập quán áp dụng không được trái với các nguyên tắc cơ bản của pháp luật dân sự quy định tại Điều 3 của Bộ luật này Điều 6. Áp dụng tương tự pháp luật 1. Trường hợp phát sinh quan hệ thuộc phạm vi điều chỉnh của pháp luật dân sự mà các bên không có thoả thuận, pháp luật không có quy định và không có tập quán được áp dụng thì áp dụng quy định của pháp luật điều chỉnh quan hệ dân sự tương tự. 2. Trường hợp không thể áp dụng tương tự pháp luật theo quy định tại khoản 1 Điều này thì áp dụng các nguyên tắc cơ bản của pháp luật dân sự quy định tại Điều 3 của Bộ luật này, án lệ, lẽ công bằng. Điều 7. Chính sách của Nhà nước đối với quan hệ dân sự 1. Việc xác lập, thực hiện, chấm dứt quyền, nghĩa vụ dân sự phải bảo đảm giữ gìn bản sắc dân tộc, tôn trọng và phát huy phong tục, tập quán, truyền thống tốt đẹp, tình đoàn kết, tương thân, tương ái, mỗi người vì cộng đồng, cộng đồng vì mỗi người và các giá trị đạo đức cao đẹp của các dân tộc cùng sinh sống trên đất nước Việt Nam. 2. Trong quan hệ dân sự, việc hoà giải giữa các bên phù hợp với quy định của pháp luật được khuyến khích. Chương II XÁC LẬP, THỰC HIỆN VÀ BẢO VỆ QUYỀN DÂN SỰ Điều 8. Căn cứ xác lập quyền dân sự Quyền dân sự được xác lập từ các căn cứ sau đây","1. Hợp đồng; 2. Hành vi pháp lý đơn phương; 3. Quyết định của Tòa án, cơ quan có thẩm quyền khác theo quy định của luật;",dấu :,0.8,needs_split,ký hiệu:dieu
001_Bo_luat_Dan_su_91-2015-QH13.docx,vn-legal,p7,3,p5,num,6,4,4.,"Kết quả của lao động, sản xuất, kinh doanh; kết quả của hoạt động sáng tạo ra đối tượng quyền sở hữu trí tuệ; 5. Chiếm hữu tài sản; 6. Sử dụng tài sản, được lợi về tài sản không có căn cứ pháp luật; 7. Bị thiệt hại do hành vi trái pháp luật; 8. Thực hiện công việc không có uỷ quyền; 9. Căn cứ khác do pháp luật quy định Điều 9. Thực hiện quyền dân sự 1. Cá nhân, pháp nhân thực hiện quyền dân sự theo ý chí của mình, không được trái với quy định tại Điều 3 và Điều 10 của Bộ luật này. 2. Việc cá nhân, pháp nhân không thực hiện quyền dân sự của mình không phải là căn cứ làm chấm dứt quyền, trừ trường hợp luật có quy định khác. Điều 10. Giới hạn việc thực hiện quyền dân sự 1. Cá nhân, pháp nhân không được lạm dụng quyền dân sự của mình gây thiệt hại cho người khác, để vi phạm nghĩa vụ của mình hoặc thực hiện mục đích khác trái pháp luật. 2. Trường hợp cá nhân, pháp nhân không tuân thủ quy định tại khoản 1 Điều này thì Tòa án hoặc cơ quan có thẩm quyền khác căn cứ vào tính chất, hậu quả của hành vi vi phạm mà có thể không bảo vệ một phần hoặc toàn bộ quyền của họ, buộc bồi thường nếu gây thiệt hại và có thể áp dụng chế tài khác do luật quy định. Điều 11. Các phương thức bảo vệ quyền dân sự Khi quyền dân sự của cá nhân, pháp nhân bị xâm phạm thì chủ thể đó có quyền tự bảo vệ theo quy định của Bộ luật này, luật khác có liên quan hoặc yêu cầu cơ quan, tổ chức có thẩm quyền","1. Công nhận, tôn trọng, bảo vệ và bảo đảm quyền dân sự của mình; 2. Buộc chấm dứt hành vi xâm phạm; 3. Buộc xin lỗi, cải chính công khai; 4. Buộc thực hiện nghĩa vụ; 5. Buộc bồi thường thiệt hại; 6. Hủy quyết định cá biệt trái pháp luật của cơ quan, tổ chức, người có thẩm quyền; 7. Yêu cầu khác theo quy định của luật. Điều 12. Tự bảo vệ quyền dân sự Việc tự bảo vệ quyền dân sự phải phù hợp với tính chất, mức độ xâm phạm đến quyền dân sự đó và không được trái với các nguyên tắc cơ bản của pháp luật dân sự quy định tại Điều 3 của Bộ luật này. Điều 13. Bồi thường thiệt hại Cá nhân, pháp nhân có quyền dân sự bị xâm phạm được bồi thường toàn bộ thiệt hại, trừ trường hợp các bên có thỏa thuận khác hoặc luật có quy định khác.",dấu :,0.8,needs_split,ký hiệu:num
001_Bo_luat_Dan_su_91-2015-QH13.docx,vn-legal,p9,2,p0,dieu,4,14,Điều 14.,"Bảo vệ quyền dân sự thông qua cơ quan có thẩm quyền 1. Tòa án, cơ quan có thẩm quyền khác có trách nhiệm tôn trọng, bảo vệ quyền dân sự của cá nhân, pháp nhân. Trường hợp quyền dân sự bị xâm phạm hoặc có tranh chấp thì việc bảo vệ quyền được thực hiện theo pháp luật tố tụng tại Tòa án hoặc trọng tài. Việc bảo vệ quyền dân sự theo thủ tục hành chính được thực hiện trong trường hợp luật quy định. Quyết định giải quyết vụ việc theo thủ tục hành chính có thể được xem xét lại tại Tòa án. 2. Tòa án không được từ chối giải quyết vụ, việc dân sự vì lý do chưa có điều luật để áp dụng; trong trường hợp này, quy định tại Điều 5 và Điều 6 của Bộ luật này được áp dụng. Điều 15. Hủy quyết định cá biệt trái pháp luật của cơ quan, tổ chức, người có thẩm quyền Khi giải quyết yêu cầu bảo vệ quyền dân sự, Tòa án hoặc cơ quan có thẩm quyền khác có quyền hủy quyết định cá biệt trái pháp luật của cơ quan, tổ chức, người có thẩm quyền. Trường hợp quyết định cá biệt bị hủy thì quyền dân sự bị xâm phạm được khôi phục và có thể được bảo vệ bằng các phương thức quy định tại Điều 11 của Bộ luật này. Chương III CÁ NHÂN Mục 1. NĂNG LỰC PHÁP LUẬT DÂN SỰ, NĂNG LỰC HÀNH VI DÂN SỰ CỦA CÁ NHÂN Điều 16. Năng lực pháp luật dân sự của cá nhân 1. Năng lực pháp luật dân sự của cá nhân là khả năng của cá nhân có quyền dân sự và nghĩa vụ dân sự. 2. Mọi cá nhân đều có năng lực pháp luật dân sự như nhau. 3. Năng lực pháp luật dân sự của cá nhân có từ khi người đó sinh ra và chấm dứt khi người đó chết. Điều 17. Nội dung năng lực pháp luật dân sự của cá nhân 1. Quyền nhân thân không gắn với tài sản và quyền nhân thân gắn với tài sản. 2. Quyền sở hữu, quyền thừa kế và quyền khác đối với tài sản. 3. Quyền tham gia quan hệ dân sự và có nghĩa vụ phát sinh từ quan hệ đó. Điều 18. Không hạn chế năng lực pháp luật dân sự của cá nhân Năng lực pháp luật dân sự của cá nhân không bị hạn chế, trừ trường hợp Bộ luật này, luật khác có liên quan quy định khác. Điều 19. Năng lực hành vi dân sự của cá nhân Năng lực hành vi dân sự của cá nhân là khả năng của cá nhân bằng hành vi của mình xác lập, thực hiện quyền, nghĩa vụ dân sự. Điều 20. Người thành niên 1. Người thành niên là người từ đủ mười tám tuổi trở lên",,toàn bộ là heading,0.8,needs_split,ký hiệu:dieu
001_Bo_luat_Dan_su_91-2015-QH13.docx,vn-legal,p11,3,p9,num,6,2,2.,"Người thành niên có năng lực hành vi dân sự đầy đủ, trừ trường hợp quy định tại các điều 22, 23 và 24 của Bộ luật này. Điều 21. Người chưa thành niên 1. Người chưa thành niên là người chưa đủ mười tám tuổi. 2. Giao dịch dân sự của người chưa đủ sáu tuổi do người đại diện theo pháp luật của người đó xác lập, thực hiện. 3. Người từ đủ sáu tuổi đến chưa đủ mười lăm tuổi khi xác lập, thực hiện giao dịch dân sự phải được người đại diện theo pháp luật đồng ý, trừ giao dịch dân sự phục vụ nhu cầu sinh hoạt hàng ngày phù hợp với lứa tuổi. 4. Người từ đủ mười lăm tuổi đến chưa đủ mười tám tuổi tự mình xác lập, thực hiện giao dịch dân sự, trừ giao dịch dân sự liên quan đến bất động sản, động sản phải đăng ký và giao dịch dân sự khác theo quy định của luật phải được người đại diện theo pháp luật đồng ý. Điều 22. Mất năng lực hành vi dân sự 1. Khi một người do bị bệnh tâm thần hoặc mắc bệnh khác mà không thể nhận thức, làm chủ được hành vi thì theo yêu cầu của người có quyền, lợi ích liên quan hoặc của cơ quan, tổ chức hữu quan, Tòa án ra quyết định tuyên bố người này là người mất năng lực hành vi dân sự trên cơ sở kết luận giám định pháp y tâm thần. Khi không còn căn cứ tuyên bố một người mất năng lực hành vi dân sự thì theo yêu cầu của chính người đó hoặc của người có quyền, lợi ích liên quan hoặc của cơ quan, tổ chức hữu quan, Tòa án ra quyết định huỷ bỏ quyết định tuyên bố mất năng lực hành vi dân sự. 2. Giao dịch dân sự của người mất năng lực hành vi dân sự phải do người đại diện theo pháp luật xác lập, thực hiện. Điều 23. Người có khó khăn trong nhận thức, làm chủ hành vi 1. Người thành niên do tình trạng thể chất hoặc tinh thần mà không đủ khả năng nhận thức, làm chủ hành vi nhưng chưa đến mức mất năng lực hành vi dân sự thì theo yêu cầu của người này, người có quyền, lợi ích liên quan hoặc của cơ quan, tổ chức hữu quan, trên cơ sở kết luận giám định pháp y tâm thần, Tòa án ra quyết định tuyên bố người này là người có khó khăn trong nhận thức, làm chủ hành vi và chỉ định người giám hộ, xác định quyền, nghĩa vụ của người giám hộ. 2. Khi không còn căn cứ tuyên bố một người có khó khăn trong nhận thức, làm chủ hành vi thì theo yêu cầu của chính người đó hoặc của người có quyền, lợi ích liên quan hoặc của cơ quan, tổ chức hữu quan, Tòa án ra quyết định huỷ bỏ quyết định tuyên bố người có khó khăn trong nhận thức, làm chủ hành vi. Điều 24. Hạn chế năng lực hành vi dân sự 1. Người nghiện ma túy, nghiện các chất kích thích khác dẫn đến phá tán tài sản của gia đình thì theo yêu cầu của người có quyền, lợi ích liên quan hoặc của cơ quan, tổ chức hữu quan, Tòa án có thể ra quyết định tuyên bố người này là người bị hạn chế năng lực hành vi dân sự. Tòa án quyết định người đại diện theo pháp luật của người bị hạn chế năng lực hành vi dân sự và phạm vi đại diện",,toàn bộ là heading,0.8,needs_split,ký hiệu:num
001_Bo_luat_Dan_su_91-2015-QH13.docx,vn-legal,p13,3,p9,num,6,2,2.,"Việc xác lập, thực hiện giao dịch dân sự liên quan đến tài sản của người bị Tòa án tuyên bố hạn chế năng lực hành vi dân sự phải có sự đồng ý của người đại diện theo pháp luật, trừ giao dịch nhằm phục vụ nhu cầu sinh hoạt hàng ngày hoặc luật liên quan có quy định khác. 3. Khi không còn căn cứ tuyên bố một người bị hạn chế năng lực hành vi dân sự thì theo yêu cầu của chính người đó hoặc của người có quyền, lợi ích liên quan hoặc của cơ quan, tổ chức hữu quan, Tòa án ra quyết định huỷ bỏ quyết định tuyên bố hạn chế năng lực hành vi dân sự. Mục 2. QUYỀN NHÂN THÂN Điều 25. Quyền nhân thân 1. Quyền nhân thân được quy định trong Bộ luật này là quyền dân sự gắn liền với mỗi cá nhân, không thể chuyển giao cho người khác, trừ trường hợp luật khác có liên quan quy định khác. 2. Việc xác lập, thực hiện quan hệ dân sự liên quan đến quyền nhân thân của người chưa thành niên, người mất năng lực hành vi dân sự, người có khó khăn trong nhận thức, làm chủ hành vi phải được người đại diện theo pháp luật của người này đồng ý theo quy định của Bộ luật này, luật khác có liên quan hoặc theo quyết định của Tòa án. Việc xác lập, thực hiện quan hệ dân sự liên quan đến quyền nhân thân của người bị tuyên bố mất tích, người đã chết phải được sự đồng ý của vợ, chồng hoặc con thành niên của người đó; trường hợp không có những người này thì phải được sự đồng ý của cha, mẹ của người bị tuyên bố mất tích, người đã chết, trừ trường hợp Bộ luật này, luật khác có liên quan quy định khác. Điều 26. Quyền có họ, tên 1. Cá nhân có quyền có họ, tên (bao gồm cả chữ đệm, nếu có). Họ, tên của một người được xác định theo họ, tên khai sinh của người đó. 2. Họ của cá nhân được xác định là họ của cha đẻ hoặc họ của mẹ đẻ theo thỏa thuận của cha mẹ; nếu không có thỏa thuận thì họ của con được xác định theo tập quán. Trường hợp chưa xác định được cha đẻ thì họ của con được xác định theo họ của mẹ đẻ. Trường hợp trẻ em bị bỏ rơi, chưa xác định được cha đẻ, mẹ đẻ và được nhận làm con nuôi thì họ của trẻ em được xác định theo họ của cha nuôi hoặc họ của mẹ nuôi theo thỏa thuận của cha mẹ nuôi. Trường hợp chỉ có cha nuôi hoặc mẹ nuôi thì họ của trẻ em được xác định theo họ của người đó. Trường hợp trẻ em bị bỏ rơi, chưa xác định được cha đẻ, mẹ đẻ và chưa được nhận làm con nuôi thì họ của trẻ em được xác định theo đề nghị của người đứng đầu cơ sở nuôi dưỡng trẻ em đó hoặc theo đề nghị của người có yêu cầu đăng ký khai sinh cho trẻ em, nếu trẻ em đang được người đó tạm thời nuôi dưỡng. Cha đẻ, mẹ đẻ được quy định trong Bộ luật này là cha, mẹ được xác định dựa trên sự kiện sinh đẻ; người nhờ mang thai hộ với người được sinh ra từ việc mang thai hộ theo quy định của Luật hôn nhân và gia đình. 3. Việc đặt tên bị hạn chế trong trường hợp xâm phạm đến quyền, lợi ích hợp pháp của người khác hoặc trái với các nguyên tắc cơ bản của pháp luật dân sự quy định tại Điều 3 của Bộ luật này. Tên của công dân Việt Nam phải bằng tiếng Việt hoặc tiếng dân tộc khác của Việt Nam; không đặt tên bằng số, bằng một ký tự mà không phải là chữ",,toàn bộ là heading,0.8,needs_split,ký hiệu:num
001_Bo_luat_Dan_su_91-2015-QH13.docx,vn-legal,p15,3,p9,num,6,4,4.,"Cá nhân xác lập, thực hiện quyền, nghĩa vụ dân sự theo họ, tên của mình. 5. Việc sử dụng bí danh, bút danh không được gây thiệt hại đến quyền, lợi ích hợp pháp của người khác. Điều 27. Quyền thay đổi họ 1. Cá nhân có quyền yêu cầu cơ quan nhà nước có thẩm quyền công nhận việc thay đổi họ trong trường hợp sau đây","a) Thay đổi họ cho con đẻ từ họ của cha đẻ sang họ của mẹ đẻ hoặc ngược lại; b) Thay đổi họ cho con nuôi từ họ của cha đẻ hoặc mẹ đẻ sang họ của cha nuôi hoặc họ của mẹ nuôi theo yêu cầu của cha nuôi, mẹ nuôi; c) Khi người con nuôi thôi làm con nuôi và người này hoặc cha đẻ, mẹ đẻ yêu cầu lấy lại họ cho người đó theo họ của cha đẻ hoặc mẹ đẻ; d) Thay đổi họ cho con theo yêu cầu của cha đẻ, mẹ đẻ hoặc của con khi xác định cha, mẹ cho con; đ) Thay đổi họ của người bị lưu lạc đã tìm ra nguồn gốc huyết thống của mình; e) Thay đổi họ theo họ của vợ, họ của chồng trong quan hệ hôn nhân và gia đình có yếu tố nước ngoài để phù hợp với pháp luật của nước mà vợ, chồng người nước ngoài là công dân hoặc lấy lại họ trước khi thay đổi; g) Thay đổi họ của con khi cha, mẹ thay đổi họ; h) Trường hợp khác do pháp luật về hộ tịch quy định. 2. Việc thay đổi họ cho người từ đủ chín tuổi trở lên phải có sự đồng ý của người đó. 3. Việc thay đổi họ của cá nhân không làm thay đổi, chấm dứt quyền, nghĩa vụ dân sự được xác lập theo họ cũ. Điều 28. Quyền thay đổi tên 1. Cá nhân có quyền yêu cầu cơ quan nhà nước có thẩm quyền công nhận việc thay đổi tên trong trường hợp sau đây: a) Theo yêu cầu của người có tên mà việc sử dụng tên đó gây nhầm lẫn, ảnh hưởng đến tình cảm gia đình, đến danh dự, quyền, lợi ích hợp pháp của người đó; b) Theo yêu cầu của cha nuôi, mẹ nuôi về việc thay đổi tên cho con nuôi hoặc khi người con nuôi thôi làm con nuôi và người này hoặc cha đẻ, mẹ đẻ yêu cầu lấy lại tên mà cha đẻ, mẹ đẻ đã đặt; c) Theo yêu cầu của cha đẻ, mẹ đẻ hoặc người con khi xác định cha, mẹ cho con; d) Thay đổi tên của người bị lưu lạc đã tìm ra nguồn gốc huyết thống của mình; đ) Thay đổi tên của vợ, chồng trong quan hệ hôn nhân và gia đình có yếu tố nước ngoài để phù hợp với pháp luật của nước mà vợ, chồng người nước ngoài là công dân hoặc lấy lại tên trước khi thay đổi; e) Thay đổi tên của người đã xác định lại giới tính, người đã chuyển đổi giới tính; g) Trường hợp khác do pháp luật về hộ tịch quy định.",dấu :,0.8,needs_split,ký hiệu:num
001_Bo_luat_Dan_su_91-2015-QH13.docx,vn-legal,p17,3,p9,num,6,2,2.,"Việc thay đổi tên cho người từ đủ chín tuổi trở lên phải có sự đồng ý của người đó. 3. Việc thay đổi tên của cá nhân không làm thay đổi, chấm dứt quyền, nghĩa vụ dân sự được xác lập theo tên cũ. Điều 29. Quyền xác định, xác định lại dân tộc 1. Cá nhân có quyền xác định, xác định lại dân tộc của mình. 2. Cá nhân khi sinh ra được xác định dân tộc theo dân tộc của cha đẻ, mẹ đẻ. Trường hợp cha đẻ, mẹ đẻ thuộc hai dân tộc khác nhau thì dân tộc của con được xác định theo dân tộc của cha đẻ hoặc mẹ đẻ theo thoả thuận của cha đẻ, mẹ đẻ; trường hợp không có thỏa thuận thì dân tộc của con được xác định theo tập quán; trường hợp tập quán khác nhau thì dân tộc của con được xác định theo tập quán của dân tộc ít người hơn. Trường hợp trẻ em bị bỏ rơi, chưa xác định được cha đẻ, mẹ đẻ và được nhận làm con nuôi thì được xác định dân tộc theo dân tộc của cha nuôi hoặc mẹ nuôi theo thỏa thuận của cha mẹ nuôi. Trường hợp chỉ có cha nuôi hoặc mẹ nuôi thì dân tộc của trẻ em được xác định theo dân tộc của người đó. Trường hợp trẻ em bị bỏ rơi, chưa xác định được cha đẻ, mẹ đẻ và chưa được nhận làm con nuôi thì được xác định dân tộc theo đề nghị của người đứng đầu cơ sở nuôi dưỡng trẻ em đó hoặc theo đề nghị của người đang tạm thời nuôi dưỡng trẻ em vào thời điểm đăng ký khai sinh cho trẻ em. 3. Cá nhân có quyền yêu cầu cơ quan nhà nước có thẩm quyền xác định lại dân tộc trong trường hợp sau đây","a) Xác định lại theo dân tộc của cha đẻ hoặc mẹ đẻ trong trường hợp cha đẻ, mẹ đẻ thuộc hai dân tộc khác nhau; b) Xác định lại theo dân tộc của cha đẻ hoặc mẹ đẻ trong trường hợp con nuôi đã xác định được cha đẻ, mẹ đẻ của mình. 4. Việc xác định lại dân tộc cho người từ đủ mười lăm tuổi đến dưới mười tám tuổi phải được sự đồng ý của người đó. 5. Cấm lợi dụng việc xác định lại dân tộc nhằm mục đích trục lợi hoặc gây chia rẽ, phương hại đến sự đoàn kết của các dân tộc Việt Nam. Điều 30. Quyền được khai sinh, khai tử 1. Cá nhân từ khi sinh ra có quyền được khai sinh. 2. Cá nhân chết phải được khai tử. 3. Trẻ em sinh ra mà sống được từ hai mươi bốn giờ trở lên mới chết thì phải được khai sinh và khai tử; nếu sinh ra mà sống dưới hai mươi bốn giờ thì không phải khai sinh và khai tử, trừ trường hợp cha đẻ, mẹ đẻ có yêu cầu. 4. Việc khai sinh, khai tử do pháp luật về hộ tịch quy định. Điều 31. Quyền đối với quốc tịch 1. Cá nhân có quyền có quốc tịch. 2. Việc xác định, thay đổi, nhập, thôi, trở lại quốc tịch Việt Nam do Luật quốc tịch Việt Nam quy định.",dấu :,0.8,needs_split,ký hiệu:num
001_Bo_luat_Dan_su_91-2015-QH13.docx,vn-legal,p19,3,p9,num,6,3,3.,"Quyền của người không quốc tịch cư trú, sinh sống trên lãnh thổ Việt Nam được bảo đảm theo luật. Điều 32. Quyền của cá nhân đối với hình ảnh 1. Cá nhân có quyền đối với hình ảnh của mình. Việc sử dụng hình ảnh của cá nhân phải được người đó đồng ý. Việc sử dụng hình ảnh của người khác vì mục đích thương mại thì phải trả thù lao cho người có hình ảnh, trừ trường hợp các bên có thỏa thuận khác. 2. Việc sử dụng hình ảnh trong trường hợp sau đây không cần có sự đồng ý của người có hình ảnh hoặc người đại diện theo pháp luật của họ","a) Hình ảnh được sử dụng vì lợi ích quốc gia, dân tộc, lợi ích công cộng; b) Hình ảnh được sử dụng từ các hoạt động công cộng, bao gồm hội nghị, hội thảo, hoạt động thi đấu thể thao, biểu diễn nghệ thuật và hoạt động công cộng khác mà không làm tổn hại đến danh dự, nhân phẩm, uy tín của người có hình ảnh. 3. Việc sử dụng hình ảnh mà vi phạm quy định tại Điều này thì người có hình ảnh có quyền yêu cầu Tòa án ra quyết định buộc người vi phạm, cơ quan, tổ chức, cá nhân có liên quan phải thu hồi, tiêu hủy, chấm dứt việc sử dụng hình ảnh, bồi thường thiệt hại và áp dụng các biện pháp xử lý khác theo quy định của pháp luật. Điều 33. Quyền sống, quyền được bảo đảm an toàn về tính mạng, sức khỏe, thân thể 1. Cá nhân có quyền sống, quyền bất khả xâm phạm về tính mạng, thân thể, quyền được pháp luật bảo hộ về sức khỏe. Không ai bị tước đoạt tính mạng trái luật. 2. Khi phát hiện người bị tai nạn, bệnh tật mà tính mạng bị đe dọa thì người phát hiện có trách nhiệm hoặc yêu cầu cá nhân, cơ quan, tổ chức khác có điều kiện cần thiết đưa ngay đến cơ sở khám bệnh, chữa bệnh nơi gần nhất; cơ sở khám bệnh, chữa bệnh có trách nhiệm thực hiện việc khám bệnh, chữa bệnh theo quy định của pháp luật về khám bệnh, chữa bệnh. 3. Việc gây mê, mổ, cắt bỏ, cấy ghép mô, bộ phận cơ thể người; thực hiện kỹ thuật, phương pháp khám, chữa bệnh mới trên cơ thể người; thử nghiệm y học, dược học, khoa học hay bất cứ hình thức thử nghiệm nào khác trên cơ thể người phải được sự đồng ý của người đó và phải được tổ chức có thẩm quyền thực hiện. Trường hợp người được thử nghiệm là người chưa thành niên, người mất năng lực hành vi dân sự, người có khó khăn trong nhận thức, làm chủ hành vi hoặc là bệnh nhân bất tỉnh thì phải được cha, mẹ, vợ, chồng, con thành niên hoặc người giám hộ của người đó đồng ý; trường hợp có nguy cơ đe dọa đến tính mạng của bệnh nhân mà không chờ được ý kiến của những người nêu trên thì phải có quyết định của người có thẩm quyền của cơ sở khám bệnh, chữa bệnh. 4. Việc khám nghiệm tử thi được thực hiện khi thuộc một trong các trường hợp sau đây: a) Có sự đồng ý của người đó trước khi chết; b) Có sự đồng ý của cha, mẹ, vợ, chồng, con thành niên hoặc người giám hộ nếu không có ý kiến của người đó trước khi chết; c) Theo quyết định của người đứng đầu cơ sở khám bệnh, chữa bệnh hoặc của cơ quan nhà nước có thẩm quyền trong trường hợp luật quy định.",dấu :,0.8,needs_split,ký hiệu:num
001_Bo_luat_Dan_su_91-2015-QH13.docx,vn-legal,p21,2,p0,dieu,4,34,Điều 34.,"Quyền được bảo vệ danh dự, nhân phẩm, uy tín 1. Danh dự, nhân phẩm, uy tín của cá nhân là bất khả xâm phạm và được pháp luật bảo vệ. 2. Cá nhân có quyền yêu cầu Tòa án bác bỏ thông tin làm ảnh hưởng xấu đến danh dự, nhân phẩm, uy tín của mình. Việc bảo vệ danh dự, nhân phẩm, uy tín có thể được thực hiện sau khi cá nhân chết theo yêu cầu của vợ, chồng hoặc con thành niên; trường hợp không có những người này thì theo yêu cầu của cha, mẹ của người đã chết, trừ trường hợp luật liên quan có quy định khác. 3. Thông tin ảnh hưởng xấu đến danh dự, nhân phẩm, uy tín của cá nhân được đăng tải trên phương tiện thông tin đại chúng nào thì phải được gỡ bỏ, cải chính bằng chính phương tiện thông tin đại chúng đó. Nếu thông tin này được cơ quan, tổ chức, cá nhân cất giữ thì phải được hủy bỏ. 4. Trường hợp không xác định được người đã đưa tin ảnh hưởng xấu đến danh dự, nhân phẩm, uy tín của mình thì người bị đưa tin có quyền yêu cầu Tòa án tuyên bố thông tin đó là không đúng. 5. Cá nhân bị thông tin làm ảnh hưởng xấu đến danh dự, nhân phẩm, uy tín thì ngoài quyền yêu cầu bác bỏ thông tin đó còn có quyền yêu cầu người đưa ra thông tin xin lỗi, cải chính công khai và bồi thường thiệt hại. Điều 35. Quyền hiến, nhận mô, bộ phận cơ thể người và hiến, lấy xác 1. Cá nhân có quyền hiến mô, bộ phận cơ thể của mình khi còn sống hoặc hiến mô, bộ phận cơ thể, hiến xác của mình sau khi chết vì mục đích chữa bệnh cho người khác hoặc nghiên cứu y học, dược học và các nghiên cứu khoa học khác. 2. Cá nhân có quyền nhận mô, bộ phận cơ thể của người khác để chữa bệnh cho mình. Cơ sở khám bệnh, chữa bệnh, pháp nhân có thẩm quyền về nghiên cứu khoa học có quyền nhận bộ phận cơ thể người, lấy xác để chữa bệnh, thử nghiệm y học, dược học và các nghiên cứu khoa học khác. 3. Việc hiến, lấy mô, bộ phận cơ thể người, hiến, lấy xác phải tuân thủ theo các điều kiện và được thực hiện theo quy định của Bộ luật này, Luật hiến, lấy, ghép mô, bộ phận cơ thể người và hiến, lấy xác và luật khác có liên quan. Điều 36. Quyền xác định lại giới tính 1. Cá nhân có quyền xác định lại giới tính. Việc xác định lại giới tính của một người được thực hiện trong trường hợp giới tính của người đó bị khuyết tật bẩm sinh hoặc chưa định hình chính xác mà cần có sự can thiệp của y học nhằm xác định rõ giới tính. 2. Việc xác định lại giới tính được thực hiện theo quy định của pháp luật. 3. Cá nhân đã thực hiện việc xác định lại giới tính có quyền, nghĩa vụ đăng ký thay đổi hộ tịch theo quy định của pháp luật về hộ tịch; có quyền nhân thân phù hợp với giới tính đã được xác định lại theo quy định của Bộ luật này và luật khác có liên quan. Điều 37. Chuyển đổi giới tính Việc chuyển đổi giới tính được thực hiện theo quy định của luật. Cá nhân đã chuyển đổi giới tính có quyền, nghĩa vụ đăng ký thay đổi hộ tịch theo quy định của pháp luật về hộ tịch; có quyền",,toàn bộ là heading,0.8,needs_split,ký hiệu:dieu
